ghpages-ronda25	OK	https://elreydeluniverso-0.github.io/VANGUARD/ronda25.html
ghpages-comojugar	OK	https://elreydeluniverso-0.github.io/VANGUARD/como-jugar.html
ghpages-detective	OK	https://elreydeluniverso-0.github.io/VANGUARD/detective.html
gh-issue-17	OK	https://github.com/ElReyDelUniverso-0/VANGUARD/issues/17
gh-discussion-18	OK	https://github.com/ElReyDelUniverso-0/VANGUARD/discussions/18
tinyurl-ronda25	OK	https://tinyurl.com/27v6d3on
tinyurl-detective	OK	https://tinyurl.com/2339zpls
clck-ronda25	OK	https://clck.ru/3W5eN9
clck-detective	OK	https://clck.ru/3W5eNH
spoo-ronda25	OK	https://spoo.me/VyBo27
spoo-detective	OK	https://spoo.me/tCrguP
tinyurl-cj	OK	https://tinyurl.com/2y8dmvwx
clck-cj	OK	https://clck.ru/3W5eNF
spoo-cj	OK	https://spoo.me/JooCMr
