indexnow-generic	OK	https://api.indexnow.org/indexnow?url=https%3A%2F%2Fvanguard.world&key=074b8db50cc83f0689a2211e3ff94db1
github-issue-8	OK	https://github.com/ElReyDelUniverso-0/VANGUARD/issues/8
hedgedoc-envs	OK	https://hedgedoc.envs.net/oJnCUVY-STOsqmnbBC6pTA
hedgedoc-nixnet	OK	https://pad.nixnet.services/2zKPevkYSbmNIa74mxm62w
tmpfiles	FAIL	code=200/200
x0at	OK	https://x0.at/SAkb.txt
shrib	FAIL	code=200/200
pasters	OK	https://paste.rs/oW6g5
hstsh	OK	https://hst.sh/anosulekag
cnets	FAIL	code=200/200
clckru	OK	https://clck.ru/3W5aqt
spooshort	OK	https://spoo.me/9Cxm0J
