ghpages-ronda22	OK	https://elreydeluniverso-0.github.io/VANGUARD/ronda22.html
ghpages-radar	OK	https://elreydeluniverso-0.github.io/VANGUARD/radar-militar.html
ghpages-iss	OK	https://elreydeluniverso-0.github.io/VANGUARD/senal-iss.html
gh-issue-13	OK	https://github.com/ElReyDelUniverso-0/VANGUARD/issues/13
gh-discussion-14	OK	https://github.com/ElReyDelUniverso-0/VANGUARD/discussions/14
hedgedoc-r22	OK	https://hedgedoc.envs.net/9UDvhGqjS9SAFwKJwro_Sg
nixnet-r22	OK	https://pad.nixnet.services/94TZKtVrQ8-MbosNWKS96g
x0at-r22	OK	https://x0.at/OUFD.txt
pasters-r22	OK	https://paste.rs/xwVJY
hstsh-r22	OK	https://hst.sh/lirutecuqe
spoo-r22	OK	https://spoo.me/QMlnHU
